hour,minute,degree
4,0,120,
4,1,114.5,
4,2,109,
4,3,103.5,
4,4,98,
4,5,92.5,
4,6,87,
4,7,81.5,
4,8,76,
4,9,70.5,
4,10,65,
4,11,59.5,
4,12,54,
4,13,48.5,
4,14,43,
4,15,37.5,
4,16,32,
4,17,26.5,
4,18,21,
4,19,15.5,
4,20,10,
4,21,4.5,
4,22,1,
4,23,6.5,
4,24,12,
4,25,17.5,
4,26,23,
4,27,28.5,
4,28,34,
4,29,39.5,
4,30,45,
4,31,50.5,
4,32,56,
4,33,61.5,
4,34,67,
4,35,72.5,
4,36,78,
4,37,83.5,
4,38,89,
4,39,94.5,
4,40,100,
4,41,105.5,
4,42,111,
4,43,116.5,
4,44,122,
4,45,127.5,
4,46,133,
4,47,138.5,
4,48,144,
4,49,149.5,
4,50,155,
4,51,160.5,
4,52,166,
4,53,171.5,
4,54,177,
4,55,177.5,
4,56,172,
4,57,166.5,
4,58,161,
4,59,155.5,
